State Vector Calculation


Calculation Inputs

Calculation type     = State Vector
Target type          = Object
Target               = sun
Observer type        = Object
Observer             = earth
Reference frame      = ITRF93
Light propagation    = No correction
Time system          = UTC
Time format          = Calendar date and time
Time range           = Jan 1 2016 00:00:00 to Dec 31 2017 00:00:00
Step                 = 1 hours
State representation = Rectangular


State Vector Results

UTC calendar date               Distance (km)       Speed (km/s)    X (km)               Y (km)               Z (km)              dX/dt (km/s)     dY/dt (km/s)     dZ/dt (km/s)  Time at Target                  Light Time (s)
2016-01-01 21:00:00.000000 UTC  147100610.61902344   9844.65375472   -94276623.47594704   -97210840.27423014  -57450504.29406322   -7067.72897769    6853.05839852    2.28798548  2016-01-01 21:00:00.000000 UTC    490.67482084
2016-01-01 22:00:00.000000 UTC  147100577.33277580   9844.90594701  -116221267.50160700   -69509602.60601047  -57442249.06382381   -5054.05643652    8448.59049550    2.29813040  2016-01-01 22:00:00.000000 UTC    490.67470981
2016-01-01 23:00:00.000000 UTC  147100545.39138147   9845.15916712  -130251708.79684076   -37072944.29402026  -57433958.69446360   -2696.07132752    9468.80948685    2.30749434  2016-01-01 23:00:00.000000 UTC    490.67460327
2016-01-02 00:00:00.000000 UTC  147100514.79238617   9845.41341430  -135411989.07945573    -2109735.47596170  -57425636.10402457    -154.34705091    9844.20321420    2.31602727  2016-01-02 00:00:00.000000 UTC    490.67450120
2016-01-02 01:00:00.000000 UTC  147100485.53333545   9845.66868718  -131350205.40500282    32998967.39151241  -57417284.29053833    2398.02102220    9549.17177953    2.32373506  2016-01-02 01:00:00.000000 UTC    490.67440360
2016-01-02 02:00:00.000000 UTC  147100457.61177474   9845.92498484  -118342508.20510733    65862074.65866052  -57408906.12940358    4787.20353693    8603.77333913    2.33067978  2016-01-02 02:00:00.000000 UTC    490.67431047
2016-01-02 03:00:00.000000 UTC  147100431.02524920   9846.18230699   -97274327.05281530    94241308.48297678  -57400504.17594287    6850.47575693    7072.36045920    2.33697612  2016-01-02 03:00:00.000000 UTC    490.67422178
2016-01-02 04:00:00.000000 UTC  147100405.77130390   9846.44065179   -69580100.49703553   116203649.21057989  -57392080.49068435    8447.30051844    5059.19973631    2.34278244  2016-01-02 04:00:00.000000 UTC    490.67413754
2016-01-02 05:00:00.000000 UTC  147100381.84748370   9846.70001958   -37145612.43099653   130253000.26722561  -57383636.50194912    9468.90070099    2701.37285024    2.34828988  2016-01-02 05:00:00.000000 UTC    490.67405774
2016-01-02 06:00:00.000000 UTC  147100359.25133318   9846.96040765    -2179584.35483704   135432103.42340785  -57375172.90799913    9845.66919321     159.44236495    2.35371033  2016-01-02 06:00:00.000000 UTC    490.67398237
2016-01-02 07:00:00.000000 UTC  147100337.98039710   9847.22181837    32936732.92266217   131387761.90801655  -57366689.63022561    9551.91160236   -2393.48213169    2.35926133  2016-01-02 07:00:00.000000 UTC    490.67391142
2016-01-02 08:00:00.000000 UTC  147100318.03221983   9847.48424850    65811725.81551535   118394927.38283030  -57358185.81839898    8607.59853232   -4783.53299736    2.36515148  2016-01-02 08:00:00.000000 UTC    490.67384488
2016-01-02 09:00:00.000000 UTC  147100299.40434570   9847.74769737    94206299.00565779    97338008.09996540  -57349659.90863255    7077.00796471   -6847.92577019    2.37156626  2016-01-02 09:00:00.000000 UTC    490.67378274
2016-01-02 10:00:00.000000 UTC  147100282.09431900   9848.01216528   116186378.06060882    69650668.91512375  -57341109.72994258    5064.35000416   -8446.04623388    2.37865564  2016-01-02 10:00:00.000000 UTC    490.67372500
2016-01-02 11:00:00.000000 UTC  147100266.09968390   9848.27765107   130254646.84982768    37218220.81139567  -57332532.65170382    2706.67180796   -9469.02818251    2.38652351  2016-01-02 11:00:00.000000 UTC    490.67367165
2016-01-02 12:00:00.000000 UTC  147100251.41798452   9848.54415377   135452546.65900580     2249245.64016261  -57323925.76293360     164.52576195   -9847.16951643    2.39522091  2016-01-02 12:00:00.000000 UTC    490.67362268
2016-01-02 13:00:00.000000 UTC  147100238.04676490   9848.81167270   131425588.71225603   -32874802.62728213  -57315286.06985279   -2388.96368551   -9554.68147511    2.40474248  2016-01-02 13:00:00.000000 UTC    490.67357808
2016-01-02 14:00:00.000000 UTC  147100225.98356910   9849.08020753   118447529.95308088   -65761778.43191835  -57306610.69983443   -4779.89001667   -8611.44741205    2.41502667  2016-01-02 14:00:00.000000 UTC    490.67353784
2016-01-02 15:00:00.000000 UTC  147100215.22594100   9849.34975753    97401763.31041040   -94171762.28473350  -57297897.09691451   -6845.40855563   -7081.67116345    2.42596013  2016-01-02 15:00:00.000000 UTC    490.67350195
2016-01-02 16:00:00.000000 UTC  147100205.77142474   9849.62032158    69721187.48642190  -116169620.06225623  -57289143.19545850   -8444.82767260   -5069.50689105    2.43738533  2016-01-02 16:00:00.000000 UTC    490.67347042
2016-01-02 17:00:00.000000 UTC  147100197.61756426   9849.89189887    37290649.11198361  -130256813.30062349  -57280347.56092077   -9469.19187480   -2711.96785741    2.44911118  2016-01-02 17:00:00.000000 UTC    490.67344322
2016-01-02 18:00:00.000000 UTC  147100190.76190350   9850.16448885     2318599.36538312  -135473482.35042533  -57271509.48787917   -9848.70404083    -169.59692664    2.46092605  2016-01-02 18:00:00.000000 UTC    490.67342035
2016-01-02 19:00:00.000000 UTC  147100185.20198646   9850.43809070   -32813295.83343615  -131463848.32911925  -57262629.04813620   -9557.48118480    2384.46595008    2.47261223  2016-01-02 19:00:00.000000 UTC    490.67340180
2016-01-02 20:00:00.000000 UTC  147100180.93535733   9850.71270333   -65712350.96388211  -118500477.58100462  -57253707.08598932   -8615.31970807    4776.27479542    2.48396069  2016-01-02 20:00:00.000000 UTC    490.67338757
2016-01-02 21:00:00.000000 UTC  147100177.95956020   9850.98832586   -94137815.72243350   -97465753.77094603  -57244745.16149712   -7086.34974523    6842.92423314    2.49478508  2016-01-02 21:00:00.000000 UTC    490.67337765
2016-01-02 22:00:00.000000 UTC  147100176.27213928   9851.26495746  -116153491.46522278   -69791817.02089997  -57235745.44508076   -5074.67007087    8443.64486814    2.50493463  2016-01-02 22:00:00.000000 UTC    490.67337202
2016-01-02 23:00:00.000000 UTC  147100175.87063890   9851.54259702  -130259614.70151958   -37363058.17694511  -57226710.56989721   -2717.26067901    9469.39172394    2.51430452  2016-01-02 23:00:00.000000 UTC    490.67337068
2016-01-03 00:00:00.000000 UTC  147100176.75260353   9851.82124330  -135495024.47480708    -2387806.72138422  -57217643.45269688    -174.65556859    9850.27262960    2.52284284  2016-01-03 00:00:00.000000 UTC    490.67337362
2016-01-03 01:00:00.000000 UTC  147100178.91557774   9852.10089560  -131502653.77577941    32752050.71463710  -57208547.09663857    2379.98916502    9560.31051942    2.53055373  2016-01-03 01:00:00.000000 UTC    490.67338083
2016-01-03 02:00:00.000000 UTC  147100182.35710620   9852.38155346  -118553882.54001987    65663280.71134023  -57199424.38875423    4772.68750495    8619.21515082    2.53749730  2016-01-03 02:00:00.000000 UTC    490.67339231
2016-01-03 03:00:00.000000 UTC  147100187.07473385   9852.66321583   -97530091.27702413    94104295.57797305  -57190277.90359587    6840.47289450    7091.04340371    2.54378612  2016-01-03 03:00:00.000000 UTC    490.67340805
2016-01-03 04:00:00.000000 UTC  147100193.06600577   9852.94588170   -69862669.13901712   116137827.39142737  -57181109.72714167    8442.49782513    5079.83922186    2.54957736  2016-01-03 04:00:00.000000 UTC    490.67342804
2016-01-03 05:00:00.000000 UTC  147100200.32846725   9853.22954998   -37435559.77197141   130262885.02211812  -57171921.31587656    9469.62764624    2722.54995873    2.55506160  2016-01-03 05:00:00.000000 UTC    490.67345226
2016-01-03 06:00:00.000000 UTC  147100208.85966380   9853.51422029    -2456979.92408007   135517005.91868850  -57162713.39818925    9851.87511793     179.70140350    2.56045053  2016-01-03 06:00:00.000000 UTC    490.67348072
2016-01-03 07:00:00.000000 UTC  147100218.65714127   9853.79989021    32690954.33056158   131541836.99719265  -57153485.92465648    9563.16924293   -2375.53356603    2.56596208  2016-01-03 07:00:00.000000 UTC    490.67351340
2016-01-03 08:00:00.000000 UTC  147100229.71844572   9854.08656134    65614453.77817173   118607576.03891170  -57144238.07161529    8623.13344741   -4769.12831579    2.57180591  2016-01-03 08:00:00.000000 UTC    490.67355029
2016-01-03 09:00:00.000000 UTC  147100242.04112348   9854.37423084    94071086.82126895    97594606.56452721  -57134968.29733548    7095.75180643   -6838.05463097    2.57816914  2016-01-03 09:00:00.000000 UTC    490.67359140
2016-01-03 10:00:00.000000 UTC  147100255.62272140   9854.66289950   116122511.57585356    69933574.40162581  -57125674.44676694    5085.01399394   -8441.38654848    2.58520338  2016-01-03 10:00:00.000000 UTC    490.67363670
2016-01-03 11:00:00.000000 UTC  147100270.46078640   9854.95256536   130266506.74040240    37507984.59873108  -57116353.89825372    2727.83535189   -9469.89955780    2.59301478  2016-01-03 11:00:00.000000 UTC    490.67368620
2016-01-03 12:00:00.000000 UTC  147100286.55286613   9855.24322788   135539307.96449208     2525950.13675155  -57107003.74164754     184.73411600   -9853.51133447    2.60165652  2016-01-03 12:00:00.000000 UTC    490.67373987
2016-01-03 13:00:00.000000 UTC  147100303.89650849   9855.53488689   131581278.22725737   -32630174.76711398  -57097620.97665566   -2371.09941700   -9566.05711061    2.61112526  2016-01-03 13:00:00.000000 UTC    490.67379773
